iter	Passed	Remaining
0	55	81341
1	56	41142
2	56	27689
3	57	21127
4	58	16996
5	58	14276
6	59	12438
7	60	11058
8	61	9981
9	61	9027
10	62	8324
11	63	7692
12	64	7206
13	65	6773
14	65	6347
15	66	5986
16	67	5716
17	67	5430
18	68	5182
19	68	4941
20	68	4733
21	69	4549
22	70	4402
23	70	4247
24	71	4128
25	72	3994
26	72	3891
27	73	3795
28	74	3698
29	75	3604
30	76	3524
31	76	3447
32	77	3357
33	77	3268
34	78	3195
35	78	3117
36	78	3053
37	79	3003
38	80	2955
39	81	2908
40	81	2845
41	82	2805
42	83	2763
43	84	2725
44	85	2689
45	85	2638
46	86	2606
47	87	2573
48	87	2527
49	88	2499
50	89	2473
51	89	2434
52	90	2410
53	91	2386
54	92	2362
55	92	2328
56	92	2293
57	92	2259
58	93	2225
59	93	2199
60	94	2170
61	95	2153
62	95	2126
63	95	2097
64	96	2072
65	96	2045
66	97	2031
67	98	2018
68	98	2001
69	99	1976
70	99	1952
71	100	1940
72	100	1919
73	100	1899
74	101	1889
75	102	1878
76	103	1869
77	104	1859
78	104	1840
79	105	1830
80	106	1821
81	107	1810
82	108	1801
83	108	1786
84	109	1772
85	109	1763
86	110	1747
87	110	1738
88	111	1724
89	111	1711
90	112	1704
91	113	1689
92	113	1674
93	114	1666
94	114	1658
95	115	1653
96	116	1647
97	117	1641
98	117	1628
99	118	1624
100	119	1618
101	120	1614
102	121	1608
103	122	1600
104	122	1589
105	122	1578
106	123	1574
107	124	1569
108	125	1562
109	125	1551
110	126	1543
111	127	1539
112	127	1528
113	128	1520
114	129	1517
115	129	1512
116	130	1509
117	131	1507
118	132	1498
119	133	1493
120	133	1486
121	134	1477
122	134	1474
123	135	1470
124	136	1466
125	136	1457
126	137	1447
127	138	1444
128	138	1440
129	139	1432
130	139	1426
131	140	1423
132	141	1414
133	141	1406
134	142	1401
135	142	1396
136	142	1388
137	143	1381
138	144	1375
139	144	1373
140	145	1369
141	146	1368
142	147	1366
143	148	1363
144	149	1358
145	149	1354
146	150	1351
147	150	1344
148	151	1338
149	152	1336
150	153	1333
151	153	1330
152	154	1328
153	155	1323
154	155	1317
155	156	1315
156	157	1313
157	157	1308
158	159	1310
159	159	1304
160	160	1300
161	160	1294
162	161	1289
163	162	1288
164	163	1287
165	163	1282
166	164	1276
167	164	1270
168	164	1265
169	165	1263
170	166	1260
171	167	1258
172	168	1257
173	168	1253
174	170	1255
175	170	1253
176	171	1248
177	172	1245
178	172	1241
179	173	1242
180	174	1239
181	175	1237
182	175	1231
183	176	1230
184	177	1229
185	178	1226
186	178	1220
187	179	1219
188	179	1215
189	180	1211
190	180	1208
191	181	1207
192	182	1206
193	183	1204
194	184	1201
195	184	1198
196	186	1199
197	187	1198
198	187	1193
199	188	1192
200	189	1190
201	190	1190
202	190	1187
203	191	1186
204	192	1184
205	192	1179
206	193	1175
207	193	1173
208	194	1168
209	195	1167
210	195	1165
211	196	1161
212	196	1157
213	197	1156
214	198	1153
215	199	1152
216	199	1151
217	200	1147
218	200	1143
219	201	1141
220	201	1138
221	202	1136
222	203	1136
223	204	1134
224	204	1130
225	205	1127
226	206	1126
227	207	1125
228	207	1124
229	208	1123
230	209	1122
231	210	1118
232	210	1114
233	211	1112
234	211	1108
235	212	1106
236	212	1102
237	213	1101
238	214	1100
239	214	1098
240	215	1094
241	215	1092
242	216	1092
243	217	1088
244	217	1084
245	217	1081
246	218	1081
247	219	1079
248	220	1079
249	221	1076
250	221	1073
251	221	1070
252	222	1069
253	223	1068
254	224	1065
255	224	1062
256	225	1061
257	225	1058
258	226	1057
259	227	1054
260	227	1051
261	228	1051
262	229	1048
263	229	1048
264	230	1045
265	230	1042
266	231	1039
267	231	1037
268	232	1036
269	233	1035
270	233	1032
271	234	1029
272	235	1028
273	236	1027
274	237	1027
275	237	1026
276	238	1024
277	239	1023
278	239	1021
279	240	1019
280	241	1018
281	241	1015
282	242	1014
283	242	1011
284	243	1010
285	244	1010
286	245	1009
287	246	1008
288	247	1007
289	248	1007
290	249	1007
291	249	1004
292	250	1003
293	251	1002
294	252	1001
295	253	1001
296	253	1000
297	254	998
298	255	997
299	255	995
300	256	994
301	257	993
302	258	991
303	258	990
304	259	987
305	260	986
306	261	988
307	262	987
308	263	985
309	263	983
310	264	981
311	265	981
312	265	979
313	266	979
314	267	978
315	268	977
316	268	974
317	269	973
318	270	973
319	271	972
320	272	972
321	273	973
322	274	970
323	275	970
324	275	968
325	276	966
326	276	965
327	277	965
328	279	965
329	279	963
330	280	962
331	281	962
332	281	959
333	282	957
334	282	955
335	283	952
336	284	952
337	284	951
338	285	949
339	286	948
340	286	946
341	287	944
342	287	942
343	288	941
344	288	939
345	289	938
346	290	936
347	290	935
348	291	934
349	292	932
350	292	930
351	293	928
352	293	926
353	293	923
354	294	921
355	295	920
356	295	918
357	295	916
358	296	915
359	297	914
360	298	913
361	298	911
362	298	909
363	299	908
364	300	906
365	301	906
366	302	905
367	302	904
368	303	902
369	303	900
370	304	899
371	305	898
372	306	898
373	306	897
374	307	895
375	308	893
376	308	891
377	309	890
378	309	888
379	309	886
380	310	884
381	311	883
382	311	881
383	311	879
384	312	877
385	312	876
386	313	874
387	314	874
388	315	873
389	315	871
390	316	869
391	317	870
392	318	869
393	319	869
394	319	867
395	320	866
396	320	864
397	321	862
398	322	862
399	322	860
400	323	860
401	324	859
402	325	859
403	326	857
404	326	856
405	327	856
406	327	854
407	328	852
408	329	852
409	330	851
410	331	850
411	331	848
412	332	849
413	333	848
414	333	846
415	334	845
416	335	843
417	336	843
418	336	842
419	337	842
420	338	841
421	339	839
422	339	838
423	339	836
424	340	834
425	341	834
426	341	832
427	342	831
428	342	829
429	343	828
430	343	826
431	344	826
432	345	825
433	346	824
434	347	823
435	347	822
436	348	821
437	348	819
438	349	817
439	350	817
440	350	815
441	351	815
442	352	814
443	353	814
444	353	812
445	354	811
446	355	810
447	355	809
448	356	807
449	356	806
450	357	805
451	358	805
452	359	804
453	360	803
454	360	802
455	361	801
456	362	800
457	363	799
458	363	799
459	364	798
460	365	797
461	366	796
462	366	794
463	366	793
464	367	792
465	368	791
466	369	790
467	369	788
468	369	786
469	370	786
470	371	785
471	371	783
472	372	782
473	372	781
474	373	779
475	374	779
476	375	778
477	376	778
478	376	777
479	377	776
480	378	775
481	379	774
482	379	774
483	380	773
484	381	772
485	382	772
486	383	771
487	383	769
488	384	769
489	385	767
490	386	767
491	386	766
492	388	767
493	389	766
494	389	765
495	390	765
496	391	763
497	391	762
498	392	761
499	393	761
500	394	759
501	395	759
502	395	757
503	396	757
504	397	756
505	397	755
506	398	754
507	399	753
508	400	753
509	400	751
510	401	751
511	402	750
512	403	750
513	404	749
514	405	748
515	405	748
516	406	746
517	407	745
518	407	744
519	408	743
520	408	742
521	409	742
522	411	742
523	411	740
524	411	739
525	412	737
526	412	736
527	413	734
528	413	733
529	414	732
530	414	731
531	415	730
532	416	729
533	416	728
534	417	727
535	418	726
536	418	725
537	419	724
538	421	724
539	421	724
540	422	722
541	422	721
542	422	719
543	423	718
544	423	716
545	424	715
546	424	714
547	425	713
548	425	711
549	426	710
550	426	709
551	427	708
552	427	707
553	429	707
554	429	706
555	430	705
556	431	705
557	432	705
558	433	703
559	433	702
560	434	702
561	435	701
562	436	700
563	436	699
564	437	698
565	438	698
566	439	697
567	440	697
568	441	697
569	442	696
570	443	695
571	443	693
572	443	692
573	444	690
574	445	690
575	445	688
576	445	687
577	446	687
578	447	686
579	448	685
580	449	684
581	449	683
582	450	682
583	450	681
584	451	681
585	452	680
586	453	679
587	453	677
588	454	677
589	455	676
590	456	675
591	456	675
592	457	674
593	458	674
594	459	672
595	459	671
596	460	670
597	460	669
598	461	668
599	462	668
600	462	666
601	463	666
602	464	665
603	465	665
604	465	663
605	466	662
606	467	661
607	467	661
608	468	660
609	469	659
610	470	659
611	471	658
612	472	657
613	472	656
614	473	655
615	473	654
616	474	653
617	474	652
618	475	651
619	476	650
620	476	649
621	477	649
622	478	648
623	479	647
624	480	646
625	480	646
626	481	645
627	482	644
628	482	643
629	483	641
630	483	640
631	484	639
632	484	638
633	485	637
634	486	636
635	486	635
636	487	634
637	488	634
638	489	633
639	489	632
640	490	631
641	490	630
642	491	630
643	492	628
644	492	628
645	493	627
646	494	626
647	495	626
648	495	624
649	496	623
650	497	623
651	497	621
652	497	620
653	498	619
654	499	618
655	499	617
656	500	617
657	501	616
658	501	615
659	502	614
660	503	614
661	504	612
662	504	612
663	505	611
664	506	611
665	507	609
666	508	609
667	508	608
668	509	608
669	510	607
670	511	606
671	511	605
672	512	605
673	513	604
674	514	603
675	515	602
676	516	602
677	516	600
678	517	600
679	517	599
680	518	598
681	519	598
682	520	597
683	521	596
684	522	596
685	522	595
686	522	593
687	523	592
688	523	591
689	524	590
690	525	589
691	525	588
692	526	587
693	527	587
694	528	586
695	529	586
696	530	585
697	530	584
698	531	583
699	531	582
700	532	581
701	532	580
702	533	579
703	534	579
704	535	578
705	536	577
706	536	576
707	536	575
708	537	575
709	538	574
710	539	573
711	539	572
712	540	571
713	541	571
714	542	570
715	543	569
716	543	568
717	543	567
718	544	566
719	545	565
720	546	565
721	546	564
722	547	563
723	548	563
724	549	562
725	550	562
726	551	560
727	551	559
728	552	559
729	553	558
730	553	557
731	554	556
732	555	556
733	556	555
734	557	555
735	558	554
736	558	553
737	559	552
738	559	551
739	560	550
740	561	549
741	561	548
742	561	547
743	562	546
744	563	546
745	564	545
746	564	544
747	565	543
748	566	543
749	567	542
750	568	541
751	569	541
752	569	540
753	570	539
754	571	538
755	572	538
756	573	537
757	574	537
758	574	536
759	575	535
760	576	534
761	576	533
762	577	532
763	578	532
764	579	531
765	579	530
766	580	529
767	581	529
768	582	528
769	583	528
770	584	527
771	585	526
772	586	526
773	586	525
774	587	524
775	588	524
776	588	522
777	589	522
778	590	521
779	591	520
780	592	520
781	592	519
782	593	518
783	593	517
784	594	516
785	595	515
786	595	514
787	596	514
788	597	513
789	598	512
790	598	511
791	599	511
792	600	510
793	601	509
794	601	508
795	602	507
796	603	507
797	604	506
798	604	505
799	605	504
800	605	503
801	606	503
802	607	502
803	608	501
804	608	500
805	609	500
806	610	499
807	611	498
808	611	497
809	612	497
810	613	496
811	614	495
812	615	495
813	616	494
814	617	493
815	618	493
816	619	492
817	619	491
818	620	491
819	621	490
820	621	489
821	622	488
822	623	487
823	623	486
824	624	486
825	625	485
826	625	484
827	626	483
828	627	482
829	628	482
830	628	481
831	629	480
832	629	479
833	630	478
834	631	478
835	632	477
836	632	476
837	633	475
838	634	474
839	635	474
840	636	473
841	636	472
842	637	471
843	637	470
844	638	470
845	639	469
846	639	468
847	640	467
848	641	466
849	641	465
850	642	465
851	643	464
852	644	463
853	644	462
854	644	461
855	645	460
856	646	460
857	647	459
858	647	458
859	648	457
860	648	456
861	649	455
862	649	454
863	650	453
864	651	453
865	651	452
866	652	451
867	652	450
868	653	449
869	653	448
870	654	447
871	655	447
872	655	446
873	656	445
874	657	444
875	657	443
876	658	443
877	659	442
878	659	441
879	660	440
880	661	439
881	662	439
882	662	438
883	663	437
884	664	436
885	664	435
886	665	434
887	665	434
888	666	433
889	668	433
890	668	432
891	669	431
892	670	430
893	671	430
894	672	429
895	672	428
896	673	427
897	674	427
898	674	426
899	675	425
900	676	424
901	677	424
902	678	423
903	679	422
904	680	422
905	680	421
906	680	420
907	681	419
908	682	419
909	683	418
910	684	417
911	685	416
912	686	416
913	686	415
914	687	414
915	687	413
916	688	412
917	688	411
918	688	410
919	689	409
920	689	409
921	690	408
922	690	407
923	691	406
924	692	405
925	692	404
926	693	403
927	694	403
928	694	402
929	695	401
930	696	400
931	697	400
932	697	399
933	698	398
934	699	397
935	699	396
936	700	396
937	701	395
938	702	394
939	702	393
940	703	393
941	704	392
942	705	392
943	706	391
944	706	390
945	707	389
946	707	388
947	708	388
948	709	387
949	709	386
950	710	385
951	710	384
952	711	383
953	712	383
954	713	382
955	713	381
956	714	380
957	715	380
958	715	379
959	716	378
960	717	377
961	717	376
962	718	375
963	718	374
964	719	374
965	719	373
966	721	372
967	721	372
968	722	371
969	723	370
970	724	369
971	724	368
972	724	367
973	725	367
974	726	366
975	727	365
976	727	364
977	728	364
978	728	363
979	729	362
980	729	361
981	730	360
982	731	360
983	731	359
984	732	358
985	732	357
986	732	356
987	733	355
988	733	354
989	734	353
990	735	353
991	736	352
992	736	351
993	737	350
994	738	350
995	738	349
996	739	348
997	740	347
998	740	347
999	741	346
1000	742	345
1001	742	344
1002	743	343
1003	744	343
1004	745	342
1005	745	341
1006	745	340
1007	746	339
1008	746	339
1009	747	338
1010	747	337
